site,replicate,sample_id,date,phylum,sub_phylum,class,order,family,subfamily,tribe,taxon,taxonomy,itis_code,voltinism,ffg,maturity,nd,count,pct_sampled,rep_num
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,NA,NA,Chironomidae,Chironomidae,127917,NA,NA,Pupa,ND,4,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsychidae,Hydropsychidae,115398,Unclassified,Collector-Filterer,Juvenile/Damaged,ND,7,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerellidae,Ephemerellidae,101232,Unclassified,Collector-Gatherer,Juvenile/Damaged,NA,50,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Leptophlebiidae,NA,NA,Leptophlebiidae,Leptophlebiidae,101095,Unclassified,Collector-Gatherer,Juvenile/Damaged,ND,28,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Heptageniidae,Heptageniidae,100504,Unclassified,Scraper,Juvenile/Damaged,NA,26,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Chloroperlidae,NA,NA,Chloroperlidae,Chloroperlidae,103202,Unclassified,Predator,Juvenile/Damaged,ND,1,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlodidae,NA,NA,Perlodidae,Perlodidae,102994,Unclassified,Predator,Juvenile/Damaged,ND,6,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,NA,NA,Elmidae,Elmidae,114093,SV,Collector-Gatherer,Juvenile/Damaged,ND,9,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,NA,NA,Elmidae,Elmidae,114093,SV,Collector-Gatherer,Adult,ND,2,5,1
BUL-01,A,BUL-01-A,2025-10-03,Annelida,Clitellata,Oligochaeta,Lumbriculida,Lumbriculidae,NA,NA,Lumbriculus,Lumbriculus,68441,NA,Collector-Gatherer,None,NA,12,5,1
BUL-01,A,BUL-01-A,2025-10-03,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,NA,NA,Nais,Nais,68946,NA,Collector-Gatherer,None,NA,4,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Orthocladiinae,NA,Tvetenia,Tvetenia,129197,NA,Collector-Gatherer,Larvae,NA,47,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,Polypedilum,129657,NA,Collector-Gatherer,Larvae,NA,4,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Orthocladiinae,NA,Orthocladius complex,Orthocladius complex,128874A,NA,Collector-Gatherer,Larvae,NA,30,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Diamesinae,Diamesini,Diamesa,Diamesa,128355,NA,Collector-Gatherer,Larvae,NA,3,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Sublettea,Sublettea,129975,NA,Collector-Filterer,Larvae,NA,8,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Micropsectra,Micropsectra,129890,NA,Collector-Gatherer,Larvae,NA,3,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Orthocladiinae,NA,Eukiefferiella,Eukiefferiella,128689,NA,Omnivore,Larvae,NA,5,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Orthocladiinae,NA,Psectrocladius,Psectrocladius,129018,NA,Collector-Gatherer,Larvae,NA,4,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,Hydropsyche,115453,UV,Collector-Filterer,Larvae,NA,156,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Cheumatopsyche,Cheumatopsyche,115408,Unclassified,Collector-Filterer,Larvae,NA,41,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Psychomyiidae,NA,NA,Psychomyia,Psychomyia,115335,Unclassified,Collector-Gatherer,Larvae,NA,4,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Lepidostomatidae,NA,NA,Lepidostoma,Lepidostoma,116794,UV,Shredder-Herbivore,Larvae,NA,13,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Glossosomatidae,NA,NA,Glossosoma,Glossosoma,117159,Unclassified,Scraper,Larvae,NA,1,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydroptilidae,NA,NA,Hydroptila,Hydroptila,115641,UV,Piercer-Herbivore,Larvae,NA,1,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Leptophlebiidae,NA,NA,Neoleptophlebia,Neoleptophlebia,101095A,NA,Collector-Gatherer,Larvae,NA,3,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Rhithrogena,Rhithrogena,100572,Unclassified,Scraper,Larvae,NA,2,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Baetis,Baetis,100800,MV,Collector-Gatherer,Juvenile/Damaged,NA,2,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Chloroperlidae,NA,NA,Sweltsa,Sweltsa,103273,SV,Predator,Larvae,NA,1,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Chloroperlidae,NA,NA,Haploperla,Haploperla,103260,Unclassified,Predator,Larvae,NA,4,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,NA,NA,Hesperoperla,Hesperoperla,102971,Unclassified,Predator,Larvae,NA,1,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Pteronarcyidae,NA,NA,Pteronarcys,Pteronarcys,102471,Unclassified,Omnivore,Larvae,NA,2,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlodidae,NA,NA,Isoperla,Isoperla,102995,UV,Predator,Larvae,NA,9,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlodidae,NA,NA,Isogenoides,Isogenoides,103124,Unclassified,Predator,Larvae,NA,1,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,NA,NA,Optioservus,Optioservus,114177,SV,Scraper,Larvae,NA,10,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,NA,NA,Optioservus,Optioservus,114177,SV,Scraper,Adult,NA,1,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Sperchontidae,NA,NA,Sperchon,Sperchon,83006,Unclassified,Predator,Adult,NA,2,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Lebertiidae,NA,NA,Lebertia,Lebertia,83034,Unclassified,Predator,Adult,NA,1,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Torrenticolidae,NA,NA,Torrenticola,Torrenticola,83254,Unclassified,Predator,Adult,NA,1,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Hygrobatidae,NA,NA,Atractides,Atractides,83282,Unclassified,Predator,Adult,NA,3,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Empididae,NA,NA,Hemerodromia,Hemerodromia,136327,MV,Predator,Larvae,NA,1,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Simuliidae,NA,NA,Simulium,Simulium,126774,MV,Collector-Filterer,Larvae,NA,1,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Tipulidae,NA,NA,Antocha,Antocha,119656,NA,Collector-Gatherer,Larvae,NA,1,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Limoniidae,NA,NA,Eloeophila,Eloeophila,NA,NA,Predator,Larvae,NA,2,5,1
BUL-01,A,BUL-01-A,2025-10-03,Mollusca,NA,Gastropoda,Basommatophora,Planorbidae,NA,NA,Planorbula,Planorbula,NA,UV,Scraper,None,NA,1,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,NA,NA,NA,Trichoptera,Trichoptera,115095,NA,NA,Juvenile/Damaged,ND,3,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,NA,NA,NA,Ephemeroptera,Ephemeroptera,100502,NA,Collector-Gatherer,Juvenile/Damaged,ND,2,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,NA,NA,NA,Plecoptera,Plecoptera,102467,Unclassified,NA,Juvenile/Damaged,ND,1,5,1
BUL-01,A,BUL-01-A,2025-10-03,Nemata,NA,NA,NA,NA,NA,NA,Nemata,Nemata,563956,NA,Shredder-Herbivore,None,NA,1,5,1
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,NA,NA,Chironomidae,Chironomidae,127917,NA,NA,Pupa,ND,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsychidae,Hydropsychidae,115398,Unclassified,Collector-Filterer,Juvenile/Damaged,ND,3,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Baetidae,Baetidae,100755,Unclassified,Collector-Gatherer,Juvenile/Damaged,NA,2,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerellidae,Ephemerellidae,101232,Unclassified,Collector-Gatherer,Juvenile/Damaged,ND,29,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Leptophlebiidae,NA,NA,Leptophlebiidae,Leptophlebiidae,101095,Unclassified,Collector-Gatherer,Juvenile/Damaged,ND,18,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Heptageniidae,Heptageniidae,100504,Unclassified,Scraper,Juvenile/Damaged,ND,21,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,NA,NA,Elmidae,Elmidae,114093,SV,Collector-Gatherer,Juvenile/Damaged,ND,6,5,2
BUL-01,B,BUL-01-B,2025-10-03,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,NA,NA,Nais,Nais,68946,NA,Collector-Gatherer,None,NA,15,5,2
BUL-01,B,BUL-01-B,2025-10-03,Annelida,Clitellata,Oligochaeta,Lumbriculida,Lumbriculidae,NA,NA,Lumbriculus,Lumbriculus,68441,NA,Collector-Gatherer,None,NA,17,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Orthocladiinae,NA,Tvetenia,Tvetenia,129197,NA,Collector-Gatherer,Larvae,NA,16,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Microtendipes,Microtendipes,129535,NA,Collector-Filterer,Larvae,NA,3,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,Polypedilum,129657,NA,Collector-Gatherer,Larvae,NA,6,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneurini,Thienemannimyia group,Thienemannimyia group,127917N,NA,Predator,Larvae,NA,2,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Orthocladiinae,NA,Orthocladius complex,Orthocladius complex,128874A,NA,Collector-Gatherer,Larvae,NA,8,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Diamesinae,Diamesini,Diamesa,Diamesa,128355,NA,Collector-Gatherer,Larvae,NA,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Micropsectra,Micropsectra,129890,NA,Collector-Gatherer,Larvae,NA,21,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Sublettea,Sublettea,129975,NA,Collector-Filterer,Larvae,NA,9,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Arctopsyche,Arctopsyche,115529,Unclassified,Predator,Larvae,NA,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,Hydropsyche,115453,UV,Collector-Filterer,Larvae,NA,52,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Cheumatopsyche,Cheumatopsyche,115408,Unclassified,Collector-Filterer,Larvae,NA,23,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Lepidostomatidae,NA,NA,Lepidostoma,Lepidostoma,116794,UV,Shredder-Herbivore,Larvae,NA,5,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Glossosomatidae,NA,NA,Glossosoma,Glossosoma,117159,Unclassified,Scraper,Larvae,NA,2,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Baetis,Baetis,100800,MV,Collector-Gatherer,Juvenile/Damaged,NA,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Diphetor hageni,Diphetor hageni,568598,Unclassified,Collector-Gatherer,Larvae,NA,2,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,Ephemerella,101233,UV,Collector-Gatherer,Larvae,NA,3,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Leptophlebiidae,NA,NA,Neoleptophlebia,Neoleptophlebia,101095A,NA,Collector-Gatherer,Larvae,NA,20,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Epeorus,Epeorus,100626,Unclassified,Scraper,Larvae,NA,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Rhithrogena,Rhithrogena,100572,Unclassified,Scraper,Larvae,NA,12,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Chloroperlidae,NA,NA,Haploperla,Haploperla,103260,Unclassified,Predator,Larvae,NA,2,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Pteronarcyidae,NA,NA,Pteronarcys,Pteronarcys,102471,Unclassified,Omnivore,Larvae,NA,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Hygrobatidae,NA,NA,Atractides,Atractides,83282,Unclassified,Predator,Adult,NA,2,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Hydryphantidae,NA,NA,Protzia,Protzia,83170,Unclassified,Predator,Adult,NA,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Lebertiidae,NA,NA,Lebertia,Lebertia,83034,Unclassified,Predator,Adult,NA,6,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Sperchontidae,NA,NA,Sperchon,Sperchon,83006,Unclassified,Predator,Adult,NA,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,NA,NA,Optioservus,Optioservus,114177,SV,Scraper,Larvae,NA,4,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlodidae,NA,NA,Isoperla,Isoperla,102995,UV,Predator,Larvae,NA,9,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,NA,NA,NA,Trichoptera,Trichoptera,115095,NA,NA,Juvenile/Damaged,ND,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,NA,NA,NA,Ephemeroptera,Ephemeroptera,100502,NA,Collector-Gatherer,Juvenile/Damaged,ND,2,5,2
BUL-01,B,BUL-01-B,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,NA,NA,NA,Trombidiformes,Trombidiformes,82769,NA,Predator,Juvenile/Damaged,NA,1,5,2
BUL-01,B,BUL-01-B,2025-10-03,Nemata,NA,NA,NA,NA,NA,NA,Nemata,Nemata,563956,NA,Shredder-Herbivore,None,NA,1,5,2
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsychidae,Hydropsychidae,115398,Unclassified,Collector-Filterer,Juvenile/Damaged,ND,6,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Glossosomatidae,NA,NA,Glossosomatidae,Glossosomatidae,117120,Unclassified,Scraper,Juvenile/Damaged,ND,3,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Leptophlebiidae,NA,NA,Leptophlebiidae,Leptophlebiidae,101095,Unclassified,Collector-Gatherer,Juvenile/Damaged,ND,21,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Heptageniidae,Heptageniidae,100504,Unclassified,Scraper,Juvenile/Damaged,NA,18,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerellidae,Ephemerellidae,101232,Unclassified,Collector-Gatherer,Juvenile/Damaged,ND,45,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlodidae,NA,NA,Perlodidae,Perlodidae,102994,Unclassified,Predator,Juvenile/Damaged,ND,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Capniidae,NA,NA,Capniidae,Capniidae,102643,Unclassified,Shredder-Herbivore,Juvenile/Damaged,NA,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,NA,NA,Elmidae,Elmidae,114093,SV,Collector-Gatherer,Juvenile/Damaged,ND,6,5,3
BUL-01,C,BUL-01-C,2025-10-03,Mollusca,NA,Gastropoda,Basommatophora,Lymnaeidae,NA,NA,Lymnaeidae,Lymnaeidae,76483,NA,Scraper,Juvenile/Damaged,NA,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Ephydridae,NA,NA,Ephydridae,Ephydridae,146893,NA,Shredder-Herbivore,Pupa,NA,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,NA,NA,Chironomidae,Chironomidae,127917,NA,NA,Pupa,ND,6,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,Hydropsyche,115453,UV,Collector-Filterer,Larvae,NA,96,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Cheumatopsyche,Cheumatopsyche,115408,Unclassified,Collector-Filterer,Larvae,NA,34,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Psychomyiidae,NA,NA,Psychomyia,Psychomyia,115335,Unclassified,Collector-Gatherer,Larvae,NA,5,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Lepidostomatidae,NA,NA,Lepidostoma,Lepidostoma,116794,UV,Shredder-Herbivore,Larvae,NA,8,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Glossosomatidae,NA,NA,Glossosoma,Glossosoma,117159,Unclassified,Scraper,Larvae,NA,2,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Baetis,Baetis,100800,MV,Collector-Gatherer,Juvenile/Damaged,NA,2,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Diphetor hageni,Diphetor hageni,568598,Unclassified,Collector-Gatherer,Larvae,NA,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ameletidae,NA,NA,Ameletus,Ameletus,100996,UV,Collector-Gatherer,Larvae,NA,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Leptophlebiidae,NA,NA,Neoleptophlebia,Neoleptophlebia,101095A,NA,Collector-Gatherer,Larvae,NA,50,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Rhithrogena,Rhithrogena,100572,Unclassified,Scraper,Larvae,NA,16,5,3
